x[m]	rho[kg/m3]	u[m/s]	p[Pa]	T[K]	P_r[m]	P_u[m/s]	P_T[K]	P_N[-]
0	20.1778	13.1528	2.93126e+06	322.11	0.000102974	10.018	300.028	7450
0.000501002	20.043	13.1556	2.93126e+06	324.276	9.57781e-05	10.0727	300.116	14800
0.001002	19.9065	13.1585	2.93126e+06	326.5	8.32171e-05	10.1494	300.241	14660
0.00150301	19.7682	13.1614	2.93125e+06	328.783	6.22742e-05	10.2373	300.374	14260
0.00200401	19.6282	13.1643	2.93125e+06	331.128	4.12373e-05	10.3075	300.482	4300
0.00250501	19.4864	13.1673	2.93125e+06	333.538	0	0	0	0
0.00300601	19.3428	13.1703	2.93125e+06	336.014	0	0	0	0
0.00350701	19.1973	13.1733	2.93125e+06	338.56	0	0	0	0
0.00400802	19.0499	13.1763	2.93124e+06	341.178	0	0	0	0
0.00450902	18.9007	13.1793	2.93124e+06	343.872	0	0	0	0
0.00501002	18.7496	13.1823	2.93124e+06	346.643	0	0	0	0
0.00551102	18.5965	13.1853	2.93124e+06	349.497	0	0	0	0
0.00601202	18.4415	13.1883	2.93123e+06	352.435	0	0	0	0
0.00651303	18.2844	13.1913	2.93123e+06	355.461	0	0	0	0
0.00701403	18.1254	13.1943	2.93123e+06	358.58	0	0	0	0
0.00751503	17.9643	13.1973	2.93123e+06	361.795	0	0	0	0
0.00801603	17.8012	13.2003	2.93122e+06	365.11	0	0	0	0
0.00851703	17.6359	13.2033	2.93122e+06	368.531	0	0	0	0
0.00901804	17.4685	13.2063	2.93122e+06	372.062	0	0	0	0
0.00951904	17.299	13.2094	2.93122e+06	375.707	0	0	0	0
0.01002	17.1273	13.2124	2.93121e+06	379.473	0	0	0	0
0.010521	16.9534	13.2154	2.93121e+06	383.365	0	0	0	0
0.011022	16.7773	13.2184	2.93121e+06	387.389	0	0	0	0
0.011523	16.5989	13.2214	2.93121e+06	391.552	0	0	0	0
0.012024	16.4182	13.2244	2.9312e+06	395.861	0	0	0	0
0.0125251	16.2352	13.2274	2.9312e+06	400.323	0	0	0	0
0.0130261	16.0499	13.2304	2.9312e+06	404.946	0	0	0	0
0.0135271	15.8621	13.2334	2.9312e+06	409.739	0	0	0	0
0.0140281	15.672	13.2364	2.93119e+06	414.71	0	0	0	0
0.0145291	15.4794	13.2394	2.93119e+06	419.87	0	0	0	0
0.0150301	15.2843	13.2424	2.93119e+06	425.228	0	0	0	0
0.0155311	15.0867	13.2455	2.93119e+06	430.797	0	0	0	0
0.0160321	14.8866	13.2485	2.93118e+06	436.588	0	0	0	0
0.0165331	14.6838	13.2515	2.93118e+06	442.615	0	0	0	0
0.0170341	14.4785	13.2545	2.93118e+06	448.892	0	0	0	0
0.0175351	14.2706	13.2575	2.93118e+06	455.433	0	0	0	0
0.0180361	14.0599	13.2605	2.93117e+06	462.255	0	0	0	0
0.0185371	13.8466	13.2635	2.93117e+06	469.378	0	0	0	0
0.0190381	13.6305	13.2665	2.93117e+06	476.819	0	0	0	0
0.0195391	13.4116	13.2695	2.93117e+06	484.6	0	0	0	0
0.0200401	13.1899	13.2725	2.93117e+06	492.746	0	0	0	0
0.0205411	12.9653	13.2756	2.93116e+06	501.28	0	0	0	0
0.0210421	12.7379	13.2786	2.93116e+06	510.23	0	0	0	0
0.0215431	12.5075	13.2816	2.93116e+06	519.628	0	0	0	0
